Gene stable ID,Gene name,Transcript stable ID,Ensembl Canonical,Chromosome/scaffold name
ENSG00000259247,TTTY25P,ENST00000558356,1.0,Y
ENSG00000224336,FAM197Y1,ENST00000421178,1.0,Y
ENSG00000273731,,ENST00000614700,1.0,Y
ENSG00000236951,,ENST00000419158,1.0,Y
ENSG00000215583,ASS1P6,ENST00000421118,1.0,Y
ENSG00000274162,SNX18P1Y,ENST00000616231,1.0,Y
ENSG00000229208,RBMY2NP,ENST00000434454,1.0,Y
ENSG00000129845,TTTY1,ENST00000250805,1.0,Y
ENSG00000227444,,ENST00000426983,1.0,Y
ENSG00000233774,MED14P1,ENST00000430517,1.0,Y
ENSG00000232475,HSFY5P,ENST00000453726,1.0,Y
ENSG00000228764,ZNF885P,ENST00000420174,1.0,Y
ENSG00000232226,ARSFP1,ENST00000398758,1.0,Y
ENSG00000224567,,ENST00000426062,1.0,Y
ENSG00000241200,ZNF736P7Y,ENST00000425158,1.0,Y
ENSG00000228518,SURF6P1,ENST00000451854,1.0,Y
ENSG00000227447,XGY1,ENST00000381172,1.0,Y
ENSG00000274231,,ENST00000619901,1.0,Y
ENSG00000286050,,ENST00000650970,1.0,Y
ENSG00000274502,ANKRD20A6P,ENST00000618763,1.0,Y
ENSG00000235094,,ENST00000445200,1.0,Y
ENSG00000278854,,ENST00000621243,1.0,Y
ENSG00000183385,TTTY8,ENST00000426035,1.0,Y
ENSG00000225809,RBMY2KP,ENST00000418221,1.0,Y
ENSG00000237902,TSPY21P,ENST00000433481,1.0,Y
ENSG00000232419,TTTY19,ENST00000453955,1.0,Y
ENSG00000232620,TSPY17P,ENST00000450329,1.0,Y
ENSG00000226906,TTTY4,ENST00000436568,1.0,Y
ENSG00000230025,,ENST00000434308,1.0,Y
ENSG00000236786,TSPY15P,ENST00000457163,1.0,Y
ENSG00000224075,TTTY22,ENST00000650665,1.0,Y
ENSG00000238235,TSPY11P,ENST00000442607,1.0,Y
ENSG00000274445,,ENST00000612764,1.0,Y
ENSG00000235649,MXRA5Y,ENST00000420610,1.0,Y
ENSG00000258567,DUX4L16,ENST00000555130,1.0,Y
ENSG00000236424,TSPY10,ENST00000428845,1.0,Y
ENSG00000234179,MTCYBP1,ENST00000454315,1.0,Y
ENSG00000271309,,ENST00000604370,1.0,Y
ENSG00000229553,USP9YP17,ENST00000444617,1.0,Y
ENSG00000228240,TTTY17A,ENST00000416110,1.0,Y
ENSG00000234652,AGPAT5P1,ENST00000455855,1.0,Y
ENSG00000218410,,ENST00000405035,1.0,Y
ENSG00000243643,TSPY20P,ENST00000450910,1.0,Y
ENSG00000224989,FAM41AY1,ENST00000421205,1.0,Y
ENSG00000131548,TTTY6B,ENST00000253848,1.0,Y
ENSG00000232029,ELOCP15,ENST00000442090,1.0,Y
ENSG00000273858,,ENST00000622087,1.0,Y
ENSG00000227830,TRIM60P3Y,ENST00000432201,1.0,Y
ENSG00000226529,MTND1P1,ENST00000445453,1.0,Y
ENSG00000229643,LINC00280,ENST00000652050,1.0,Y
ENSG00000274837,,ENST00000616477,1.0,Y
ENSG00000216777,PRRC2CP1,ENST00000404428,1.0,Y
ENSG00000216824,ZNF736P10Y,ENST00000403990,1.0,Y
ENSG00000275352,,ENST00000613408,1.0,Y
ENSG00000276829,,ENST00000613297,1.0,Y
ENSG00000258992,TSPY1,ENST00000451548,1.0,Y
ENSG00000228850,CDY12P,ENST00000440679,1.0,Y
ENSG00000283076,,ENST00000635343,1.0,Y
ENSG00000234850,MTND2P3,ENST00000452458,1.0,Y
ENSG00000224873,CDY13P,ENST00000445813,1.0,Y
ENSG00000229234,RBMY1KP,ENST00000423480,1.0,Y
ENSG00000270570,,ENST00000603467,1.0,Y
ENSG00000237563,TTTY21B,ENST00000421353,1.0,Y
ENSG00000223517,,ENST00000435111,1.0,Y
ENSG00000228207,,ENST00000432613,1.0,Y
ENSG00000224917,,ENST00000434179,1.0,Y
ENSG00000286187,,ENST00000651708,1.0,Y
ENSG00000225117,ARSDP1,ENST00000443820,1.0,Y
ENSG00000215560,TTTY5,ENST00000400581,1.0,Y
ENSG00000228411,CDY4P,ENST00000418290,1.0,Y
ENSG00000235059,,ENST00000446299,1.0,Y
ENSG00000244395,RBMY1D,ENST00000382680,1.0,Y
ENSG00000230727,RBMY2WP,ENST00000424230,1.0,Y
ENSG00000230814,USP9YP24,ENST00000434374,1.0,Y
ENSG00000229725,,ENST00000414540,1.0,Y
ENSG00000229236,TTTY10,ENST00000670518,1.0,Y
ENSG00000229518,UBE2V1P3,ENST00000439651,1.0,Y
ENSG00000232730,FAM8A4P,ENST00000435433,1.0,Y
ENSG00000229308,,ENST00000426699,1.0,Y
ENSG00000244000,,ENST00000422002,1.0,Y
ENSG00000232764,TRIM60P8Y,ENST00000436338,1.0,Y
ENSG00000236131,MED13P1,ENST00000428342,1.0,Y
ENSG00000270073,TSPY6P,ENST00000448518,1.0,Y
ENSG00000227949,CYCSP46,ENST00000423569,1.0,Y
ENSG00000252900,RNU6-303P,ENST00000517091,1.0,Y
ENSG00000251766,RNA5SP518,ENST00000515957,1.0,Y
ENSG00000252689,,ENST00000516880,1.0,Y
ENSG00000243980,RN7SL702P,ENST00000488394,1.0,Y
ENSG00000252315,RNA5SP520,ENST00000516506,1.0,Y
ENSG00000252012,RNA5SP521,ENST00000516203,1.0,Y
ENSG00000273966,,ENST00000615048,1.0,Y
ENSG00000252173,RNU6-109P,ENST00000516364,1.0,Y
ENSG00000251705,RNA5-8SP6,ENST00000515896,1.0,Y
ENSG00000252289,RNA5SP519,ENST00000516480,1.0,Y
ENSG00000252323,RNU6-184P,ENST00000516514,1.0,Y
ENSG00000169953,HSFY2,ENST00000304790,1.0,Y
ENSG00000236429,GPM6BP2,ENST00000432046,1.0,Y
ENSG00000249501,USP9YP2,ENST00000504503,1.0,Y
ENSG00000228193,ELOCP14,ENST00000428070,1.0,Y
ENSG00000248573,PRYP6,ENST00000514804,1.0,Y
ENSG00000230904,XKRYP2,ENST00000432915,1.0,Y
ENSG00000238135,USP9YP10,ENST00000454868,1.0,Y
ENSG00000224151,USP9YP28,ENST00000435142,1.0,Y
ENSG00000251970,RNU1-41P,ENST00000516161,1.0,Y
ENSG00000238088,OFD1P7Y,ENST00000454643,1.0,Y
ENSG00000217179,MTCYBP2,ENST00000407745,1.0,Y
ENSG00000217896,ZNF839P1,ENST00000403487,1.0,Y
ENSG00000185275,CD24P4,ENST00000382840,1.0,Y
ENSG00000252766,RNU6-255P,ENST00000516957,1.0,Y
ENSG00000274282,,ENST00000615809,1.0,Y
ENSG00000234529,GAPDHP19,ENST00000431768,1.0,Y
ENSG00000238191,CLUHP1,ENST00000435012,1.0,Y
ENSG00000226353,TAF9P1,ENST00000445421,1.0,Y
ENSG00000275578,,ENST00000618226,1.0,Y
ENSG00000226449,CDY5P,ENST00000411487,1.0,Y
ENSG00000225896,ELOCP36,ENST00000425789,1.0,Y
ENSG00000224166,PRYP1,ENST00000412474,1.0,Y
ENSG00000229129,ACTG1P2,ENST00000415776,1.0,Y
ENSG00000223555,USP9YP23,ENST00000455085,1.0,Y
ENSG00000235521,USP9YP27,ENST00000418455,1.0,Y
ENSG00000252513,RNU1-128P,ENST00000516704,1.0,Y
ENSG00000224964,TRAPPC2P3,ENST00000443200,1.0,Y
ENSG00000226011,OFD1P1Y,ENST00000411756,1.0,Y
ENSG00000225740,ELOCP6,ENST00000429066,1.0,Y
ENSG00000229138,CDY6P,ENST00000413320,1.0,Y
ENSG00000224485,USP9YP7,ENST00000436723,1.0,Y
ENSG00000226116,USP9YP6,ENST00000413550,1.0,Y
ENSG00000237558,CDY7P,ENST00000429883,1.0,Y
ENSG00000233378,USP9YP34,ENST00000453983,1.0,Y
ENSG00000237616,USP9YP32,ENST00000452432,1.0,Y
ENSG00000224033,CDY8P,ENST00000428380,1.0,Y
ENSG00000230412,ELOCP12,ENST00000458706,1.0,Y
ENSG00000225895,TRAPPC2P8,ENST00000440676,1.0,Y
ENSG00000233120,USP9YP15,ENST00000442391,1.0,Y
ENSG00000252166,RNU1-95P,ENST00000516357,1.0,Y
ENSG00000232744,USP9YP16,ENST00000430287,1.0,Y
ENSG00000229465,ACTG1P11,ENST00000425411,1.0,Y
ENSG00000231311,PRYP2,ENST00000416652,1.0,Y
ENSG00000236599,ELOCP26,ENST00000436067,1.0,Y
ENSG00000232899,CDY9P,ENST00000451397,1.0,Y
ENSG00000229302,TAF9P2,ENST00000454958,1.0,Y
ENSG00000228945,CLUHP2,ENST00000426660,1.0,Y
ENSG00000233522,FAM224A,ENST00000419557,1.0,Y
ENSG00000278391,,ENST00000614353,1.0,Y
ENSG00000251953,RNA5SP522,ENST00000516144,1.0,Y
ENSG00000252667,RNA5SP523,ENST00000516858,1.0,Y
ENSG00000249726,TUBB1P1,ENST00000503144,1.0,Y
ENSG00000225716,ELOCP13,ENST00000443934,1.0,Y
ENSG00000229406,OFD1P4Y,ENST00000455273,1.0,Y
ENSG00000227494,USP9YP14,ENST00000430663,1.0,Y
ENSG00000252209,RNU1-48P,ENST00000516400,1.0,Y
ENSG00000249634,USP9YP5,ENST00000511770,1.0,Y
ENSG00000251510,,ENST00000510613,1.0,Y
ENSG00000238067,XKRYP1,ENST00000423438,1.0,Y
ENSG00000233546,PRYP5,ENST00000451909,1.0,Y
ENSG00000230377,ELOCP7,ENST00000439968,1.0,Y
ENSG00000250951,USP9YP1,ENST00000513521,1.0,Y
ENSG00000230458,GPM6BP1,ENST00000446387,1.0,Y
ENSG00000131007,TTTY9B,ENST00000433794,1.0,Y
ENSG00000235479,RAB9AP4,ENST00000415230,1.0,Y
ENSG00000249606,TRAPPC2P7,ENST00000509650,1.0,Y
ENSG00000176728,TTTY14,ENST00000651734,1.0,Y
ENSG00000267793,,ENST00000586015,1.0,Y
ENSG00000260197,,ENST00000566193,1.0,Y
ENSG00000288049,,ENST00000652994,1.0,Y
ENSG00000012817,KDM5D,ENST00000317961,1.0,Y
ENSG00000172468,HSFY1,ENST00000307393,1.0,Y
ENSG00000176679,TGIF2LY,ENST00000321217,1.0,Y
ENSG00000169800,RBMY1F,ENST00000303766,1.0,Y
ENSG00000182415,CDY2A,ENST00000250838,1.0,Y
ENSG00000233126,ZNF736P3Y,ENST00000428264,1.0,Y
ENSG00000227251,TRIM60P9Y,ENST00000438459,1.0,Y
ENSG00000252633,RN7SKP282,ENST00000516824,1.0,Y
ENSG00000251996,Y_RNA,ENST00000516187,1.0,Y
ENSG00000252155,RNU6-941P,ENST00000516346,1.0,Y
ENSG00000252472,RNU6-521P,ENST00000516663,1.0,Y
ENSG00000224953,SRIP3,ENST00000413200,1.0,Y
ENSG00000274365,,ENST00000610687,1.0,Y
ENSG00000233634,GOT2P5,ENST00000433995,1.0,Y
ENSG00000237701,ATP5PFP1,ENST00000431631,1.0,Y
ENSG00000273906,,ENST00000620503,1.0,Y
ENSG00000232976,TRIM60P10Y,ENST00000425589,1.0,Y
ENSG00000226270,ZNF736P2Y,ENST00000416040,1.0,Y
ENSG00000227837,TRIM60P11Y,ENST00000445313,1.0,Y
ENSG00000278602,,ENST00000616864,1.0,Y
ENSG00000223978,ZNF736P1Y,ENST00000440402,1.0,Y
ENSG00000278197,,ENST00000618453,1.0,Y
ENSG00000230819,ZNF736P5Y,ENST00000451173,1.0,Y
ENSG00000185894,BPY2C,ENST00000382287,1.0,Y
ENSG00000228296,TTTY4C,ENST00000456123,1.0,Y
ENSG00000205916,DAZ4,ENST00000682740,1.0,Y
ENSG00000129873,CDY2B,ENST00000382867,1.0,Y
ENSG00000251841,RNU6-1334P,ENST00000516032,1.0,Y
ENSG00000184895,SRY,ENST00000383070,1.0,Y
ENSG00000237659,RNASEH2CP1,ENST00000454281,1.0,Y
ENSG00000232195,TOMM22P2,ENST00000430735,1.0,Y
ENSG00000286130,,ENST00000651710,1.0,Y
ENSG00000129824,RPS4Y1,ENST00000250784,1.0,Y
ENSG00000229163,NAP1L1P2,ENST00000414182,1.0,Y
ENSG00000278847,,ENST00000611750,1.0,Y
ENSG00000067646,ZFY,ENST00000155093,1.0,Y
ENSG00000233070,ZFY-AS1,ENST00000417305,1.0,Y
ENSG00000223600,EEF1A1P41,ENST00000414667,1.0,Y
ENSG00000215414,PSMA6P1,ENST00000400275,1.0,Y
ENSG00000224035,SFPQP1,ENST00000446621,1.0,Y
ENSG00000223915,DPPA2P1,ENST00000428060,1.0,Y
ENSG00000067048,DDX3Y,ENST00000336079,1.0,Y
ENSG00000234059,CASKP1,ENST00000412870,1.0,Y
ENSG00000183878,UTY,ENST00000545955,1.0,Y
ENSG00000154620,TMSB4Y,ENST00000284856,1.0,Y
ENSG00000129864,VCY,ENST00000250825,1.0,Y
ENSG00000187191,DAZ3,ENST00000382365,1.0,Y
ENSG00000188120,DAZ1,ENST00000405239,1.0,Y
ENSG00000205936,PPP1R12BP2,ENST00000416956,1.0,Y
ENSG00000251925,SNORA70,ENST00000516116,1.0,Y
ENSG00000286744,,ENST00000662956,1.0,Y
ENSG00000225189,REREP1Y,ENST00000422655,1.0,Y
ENSG00000230073,,ENST00000444350,1.0,Y
ENSG00000236647,,ENST00000444014,1.0,Y
ENSG00000099721,AMELY,ENST00000651267,1.0,Y
ENSG00000092377,TBL1Y,ENST00000383032,1.0,Y
ENSG00000232583,GPR143YP,ENST00000434155,1.0,Y
ENSG00000205944,DAZ2,ENST00000382440,1.0,Y
ENSG00000168757,TSPY2,ENST00000320701,1.0,Y
ENSG00000226555,AGKP1,ENST00000455254,1.0,Y
ENSG00000228787,NLGN4Y-AS1,ENST00000434164,1.0,Y
ENSG00000242389,RBMY1E,ENST00000382659,1.0,Y
ENSG00000165246,NLGN4Y,ENST00000684976,1.0,Y
ENSG00000231535,LINC00278,ENST00000665487,1.0,Y
ENSG00000229343,CDY22P,ENST00000451423,1.0,Y
ENSG00000232695,ELOCP17,ENST00000414751,1.0,Y
ENSG00000235511,OFD1P18Y,ENST00000420889,1.0,Y
ENSG00000232914,TRAPPC2P4,ENST00000421750,1.0,Y
ENSG00000223655,RAB9AP3,ENST00000412737,1.0,Y
ENSG00000230854,USP9YP20,ENST00000419224,1.0,Y
ENSG00000252625,RNU1-40P,ENST00000516816,1.0,Y
ENSG00000227635,USP9YP21,ENST00000420603,1.0,Y
ENSG00000237546,XKRYP6,ENST00000440468,1.0,Y
ENSG00000172283,PRYP4,ENST00000306589,1.0,Y
ENSG00000227867,ELOCP11,ENST00000436690,1.0,Y
ENSG00000231716,CDY23P,ENST00000451661,1.0,Y
ENSG00000234744,USP9YP26,ENST00000421008,1.0,Y
ENSG00000233156,HSFY8P,ENST00000437934,1.0,Y
ENSG00000234888,OFD1P15Y,ENST00000411536,1.0,Y
ENSG00000235014,REREP2Y,ENST00000439103,1.0,Y
ENSG00000289705,,ENST00000696462,1.0,Y
ENSG00000225876,,ENST00000426199,1.0,Y
ENSG00000251796,SNORA70,ENST00000515987,1.0,Y
ENSG00000229238,PPP1R12BP1,ENST00000367272,1.0,Y
ENSG00000252948,RNU6-1314P,ENST00000517139,1.0,Y
ENSG00000233843,CYCSP48,ENST00000417124,1.0,Y
ENSG00000188399,ANKRD36P1,ENST00000344424,1.0,Y
ENSG00000277146,,ENST00000619329,1.0,Y
ENSG00000129862,VCY1B,ENST00000250823,1.0,Y
ENSG00000235451,PNPLA4P1,ENST00000458328,1.0,Y
ENSG00000289706,,ENST00000696463,1.0,Y
ENSG00000226611,OFD1P2Y,ENST00000421895,1.0,Y
ENSG00000240438,OFD1P5Y,ENST00000447585,1.0,Y
ENSG00000286247,,ENST00000651369,1.0,Y
ENSG00000225624,TBL1YP1,ENST00000440297,1.0,Y
ENSG00000280969,RPS4Y2,ENST00000629237,1.0,Y
ENSG00000224482,HSFY4P,ENST00000415994,1.0,Y
ENSG00000216844,,ENST00000406090,1.0,Y
ENSG00000229551,GAPDHP17,ENST00000449858,1.0,Y
ENSG00000226504,TMEM167AP1,ENST00000423409,1.0,Y
ENSG00000254488,,ENST00000527562,1.0,Y
ENSG00000237427,TOMM22P1,ENST00000418578,1.0,Y
ENSG00000289707,,ENST00000696465,1.0,Y
ENSG00000232634,NEFLP1,ENST00000436364,1.0,Y
ENSG00000226918,,ENST00000437359,1.0,Y
ENSG00000183146,PRORY,ENST00000382764,1.0,Y
ENSG00000236615,,ENST00000428616,1.0,Y
ENSG00000288057,,ENST00000660183,1.0,Y
ENSG00000237269,RBMY2TP,ENST00000451162,1.0,Y
ENSG00000169849,TSPY14P,ENST00000303979,1.0,Y
ENSG00000169811,RBMY1HP,ENST00000382759,1.0,Y
ENSG00000242393,,ENST00000456659,1.0,Y
ENSG00000228257,,ENST00000452426,1.0,Y
ENSG00000184991,TTTY13,ENST00000652128,1.0,Y
ENSG00000271123,ELOCP5,ENST00000604924,1.0,Y
ENSG00000226042,CDY10P,ENST00000452415,1.0,Y
ENSG00000237023,USP9YP3,ENST00000434481,1.0,Y
ENSG00000229416,USP9YP8,ENST00000441913,1.0,Y
ENSG00000230029,CDY11P,ENST00000447168,1.0,Y
ENSG00000224169,HSFY6P,ENST00000445573,1.0,Y
ENSG00000223407,USP9YP18,ENST00000425912,1.0,Y
ENSG00000226873,CDY14P,ENST00000431260,1.0,Y
ENSG00000227915,ELOCP16,ENST00000444494,1.0,Y
ENSG00000236620,XKRYP3,ENST00000442113,1.0,Y
ENSG00000224866,USP9YP25,ENST00000457708,1.0,Y
ENSG00000232424,USP9YP29,ENST00000445112,1.0,Y
ENSG00000252681,RNU1-97P,ENST00000516872,1.0,Y
ENSG00000232910,RAB9AP1,ENST00000449393,1.0,Y
ENSG00000232845,TRAPPC2P9,ENST00000434556,1.0,Y
ENSG00000237302,OFD1P11Y,ENST00000418213,1.0,Y
ENSG00000169763,PRYP3,ENST00000343584,1.0,Y
ENSG00000277930,,ENST00000618284,1.0,Y
ENSG00000252468,RNU2-57P,ENST00000516659,1.0,Y
ENSG00000231341,VDAC1P6,ENST00000430062,1.0,Y
ENSG00000235001,EIF4A1P2,ENST00000422633,1.0,Y
ENSG00000214207,KRT18P10,ENST00000388836,1.0,Y
ENSG00000278585,SNX3P1Y,ENST00000615757,1.0,Y
ENSG00000235175,RPL26P37,ENST00000411983,1.0,Y
ENSG00000099715,PCDH11Y,ENST00000698851,1.0,Y
ENSG00000225466,OFD1P10Y,ENST00000434110,1.0,Y
ENSG00000231540,ELOCP9,ENST00000418624,1.0,Y
ENSG00000223362,CDY15P,ENST00000421995,1.0,Y
ENSG00000231026,XKRYP4,ENST00000414395,1.0,Y
ENSG00000224571,USP9YP13,ENST00000417797,1.0,Y
ENSG00000226369,USP9YP11,ENST00000427537,1.0,Y
ENSG00000280961,TTTY3B,ENST00000631331,1.0,Y
ENSG00000227871,USP9YP12,ENST00000450481,1.0,Y
ENSG00000251917,RNU1-86P,ENST00000516108,1.0,Y
ENSG00000231423,RAB9AP5,ENST00000437794,1.0,Y
ENSG00000228465,TRAPPC2P10,ENST00000415662,1.0,Y
ENSG00000232585,OFD1P12Y,ENST00000427963,1.0,Y
ENSG00000234081,ELOCP10,ENST00000440624,1.0,Y
ENSG00000172352,CDY1B,ENST00000382407,1.0,Y
ENSG00000231375,CDY17P,ENST00000414121,1.0,Y
ENSG00000237467,USP9YP35,ENST00000435696,1.0,Y
ENSG00000229250,USP9YP31,ENST00000431405,1.0,Y
ENSG00000232205,CDY18P,ENST00000438294,1.0,Y
ENSG00000235981,,ENST00000445264,1.0,Y
ENSG00000223698,GOLGA6L11P,ENST00000417252,1.0,Y
ENSG00000242854,DNM1P24,ENST00000441091,1.0,Y
ENSG00000230977,,ENST00000418278,1.0,Y
ENSG00000244231,CSPG4P2Y,ENST00000306853,1.0,Y
ENSG00000172342,CSPG4P3Y,ENST00000418188,1.0,Y
ENSG00000284071,,ENST00000624333,1.0,Y
ENSG00000274234,RN7SL818P,ENST00000485099,1.0,Y
